t,nu,I12
-0.03046,205544345.56473255,-0.5005417119681976
-0.03045,209445413.59587374,-0.5121822168976907
-0.03044,213347320.69794968,-0.5238227218271837
-0.03043,217250066.43072203,-0.5346435123521158
-0.03042,221153650.35395664,-0.5346435123521158
-0.03041,225058072.02741793,-0.5346435123521158
-0.0304,228963331.01087025,-0.5238227218271837
-0.03039,232869426.86407813,-0.5238227218271837
-0.03038,236776359.146806,-0.5290502621624716
-0.03037,240684127.4188182,-0.5238227218271837
-0.03036,244592731.23987922,-0.5354632267566766
-0.03035,248502170.16975492,-0.5238227218271837
-0.03034,252412443.76820686,-0.5180977114408171
-0.03033,256323551.59500098,-0.5121822168976907
-0.03032,260235493.20990163,-0.5118927245924514
-0.03031,264148268.17267326,-0.5060480768510598
-0.0303,268061876.04308033,-0.49454698419535387
-0.03029,271976316.38088715,-0.4889012070387047
-0.03028,275891588.7458584,-0.4835578640114292
-0.03027,279807692.6977596,-0.44901801658204143
-0.03026,283724627.7963527,-0.44233918732073285
-0.03025,287642393.60140324,-0.4306986823912399
-0.03024,291560989.67267585,-0.4190581774617469
-0.03023,295480415.56993496,-0.4144781691526536
-0.03022,299400670.85294485,-0.3981387857941288
-0.03021,303321755.0814701,-0.38676339191429654
-0.0302,307243667.81527513,-0.360855652814282
-0.03019,311166408.61412424,-0.33757464295529616
-0.03018,315089977.0377834,-0.32203059435976533
-0.03017,319014372.64601415,-0.3105295017040594
-0.03016,322939594.99858236,-0.287832061911565
-0.03015,326865643.6552526,-0.2560911084488453
-0.03014,330792518.17578906,-0.26163405923614175
-0.03013,334720218.11995625,-0.24177893200571457
-0.03012,338648743.04751873,-0.21613248371681285
-0.03011,342578092.5182408,-0.18624807887188755
-0.0301,346508266.09188837,-0.16118595467047642
-0.03009,350439263.328223,-0.1513265640834086
-0.03008,354371083.7870105,-0.12804555422442265
-0.03007,358303727.02801543,-0.12512933267815476
-0.03006,362237192.61100215,-0.1035098339013531
-0.03005,366171480.095735,-0.08050764858994128
-0.03004,370106589.04197866,-0.06825236327899357
-0.03003,374042519.00949734,-0.034539847429387836
-0.03002,377979269.5580555,-0.022750787759664524
-0.03001,381916840.24741906,0.0
-0.03,385855230.63734955,0.04656201971797192
-0.02999,389794440.287613,0.04656201971797192
-0.02998,393734468.7579735,0.045501575519328985
-0.02997,397675315.6081958,0.06900655593423542
-0.02996,401616980.3980442,0.09210625981170083
-0.02995,405559462.68728316,0.09200874124564724
-0.02994,409502762.0356771,0.11513282476462605
-0.02993,413446878.00299174,0.126512019212765
-0.02992,417391810.1489889,0.13815938971755126
-0.02991,421337558.0334344,0.1365047265579871
-0.0299,425284121.2160925,0.17460757394239462
-0.02989,429231499.2567278,0.18624807887188763
-0.02988,433179691.7151047,0.1842125196234017
-0.02987,437128698.15098757,0.18200630207731613
-0.02986,441078518.12414086,0.2070196678027064
-0.02985,445029151.1943291,0.22116959366036656
-0.02984,448980596.92131793,0.2070196678027064
-0.02983,452932854.8648692,0.21875236705278955
-0.02982,456885924.58474857,0.21852076045841232
-0.02981,460839805.64072055,0.24445060351935252
-0.0298,464794497.59254956,0.23026564952925216
-0.02979,468750000.0,0.23026564952925216
-0.02978,472706621.17625487,0.2161324837168129
-0.02977,476664660.0024651,0.24445060351935252
-0.02976,480624101.8903471,0.21852076045841232
-0.02975,484584932.2516186,0.21875236705278955
-0.02974,488547136.4979932,0.20475708983698065
-0.02973,492510700.0411886,0.22116959366036656
-0.02972,496475608.2929213,0.22116959366036656
-0.02971,500441846.6649076,0.18200630207731613
-0.0297,504409400.5688638,0.1842125196234017
-0.02969,508378255.41650647,0.18624807887188763
-0.02968,512348396.61955184,0.17251638983558865
-0.02967,516319809.58971775,0.14967267219401387
-0.02966,520292479.73871773,0.14967267219401387
-0.02965,524266392.47826964,0.12664610724108866
-0.02964,528241533.2200897,0.1280455542244227
-0.02963,532217887.3758945,0.09100315103865804
-0.02962,536195440.3574003,0.09210625981170083
-0.02961,540174177.5763233,0.09312403943594377
-0.0296,544154084.4443804,0.05756641238231299
-0.02959,548135146.3732873,0.034539847429387836
-0.02958,552117348.7747623,0.02302656495292522
-0.02957,556100677.0605189,-0.011375393879832262
-0.02956,560085116.6422744,-0.01164050492949298
-0.02955,564070652.9317458,-0.03459492030108322
-0.02954,568057271.3406492,-0.057566412382313054
-0.02953,572044957.280701,-0.09112113780030283
-0.02952,576033696.1636175,-0.09312403943594372
-0.02951,580023473.4011152,-0.10490679092703531
-0.0295,584014274.4049118,-0.12804555422442265
-0.02949,588006084.586721,-0.1706309081974838
-0.02948,591998889.3582604,-0.17269923714693905
-0.02947,595992674.1312464,-0.18650096164806285
-0.02946,599987424.3173956,-0.20981358185407056
-0.02945,603983125.3284241,-0.2588357535486475
-0.02944,607979762.5760485,-0.24445060351935233
-0.02943,611977321.471985,-0.27975144247209416
-0.02942,615975787.42795,-0.2993453443880276
-0.02941,619975145.8556614,-0.3189239823010602
-0.0294,623975382.1668327,-0.33441756291047087
-0.02939,627976481.7731817,-0.3644845512012116
-0.02938,631978430.0864246,-0.36134561319312153
-0.02937,635981212.5182781,-0.3846582333991294
-0.02936,639984814.4804583,-0.4100451201013631
-0.02935,643989221.3846817,-0.40797085360513724
-0.02934,647994418.6426647,-0.4196271637081412
-0.02933,652000391.6661249,-0.44901801658204143
-0.02932,656007125.8667762,-0.4669958312265525
