Record Length,Analog:7000
Sample Interval,CH:0.0000099999997
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:+2.000000E-02 CH2:+2.000000E-02,,,
Vertical Offset,CH1:+0.000000E+00 CH2:+0.000000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,5000.0000000000,,,
Model Number,SDS1204X-E,,,
Serial Number,SDSMMEBQ4R4722,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH2
Second,Volt,Volt
-3.225000E-02,+1.200000E-02,+1.520000E-02
-3.224000E-02,+1.200000E-02,+1.440000E-02
-3.223000E-02,+1.200000E-02,+1.600000E-02
-3.222000E-02,+1.280000E-02,+1.600000E-02
-3.221000E-02,+1.120000E-02,+1.520000E-02
-3.220000E-02,+1.120000E-02,+1.600000E-02
-3.219000E-02,+1.200000E-02,+1.440000E-02
-3.218000E-02,+1.280000E-02,+1.520000E-02
-3.217000E-02,+1.200000E-02,+1.440000E-02
-3.216000E-02,+1.200000E-02,+1.440000E-02
-3.215000E-02,+1.200000E-02,+1.520000E-02
-3.214000E-02,+1.200000E-02,+1.440000E-02
-3.213000E-02,+1.200000E-02,+1.520000E-02
-3.212000E-02,+1.120000E-02,+1.520000E-02
-3.211000E-02,+1.120000E-02,+1.520000E-02
-3.210000E-02,+1.200000E-02,+1.520000E-02
-3.209000E-02,+1.200000E-02,+1.520000E-02
-3.208000E-02,+1.200000E-02,+1.440000E-02
-3.207000E-02,+1.200000E-02,+1.520000E-02
-3.206000E-02,+1.200000E-02,+1.520000E-02
-3.205000E-02,+1.120000E-02,+1.440000E-02
-3.204000E-02,+1.200000E-02,+1.600000E-02
-3.203000E-02,+1.200000E-02,+1.520000E-02
-3.202000E-02,+1.280000E-02,+1.440000E-02
-3.201000E-02,+1.120000E-02,+1.520000E-02
-3.200000E-02,+1.280000E-02,+1.440000E-02
-3.199000E-02,+1.200000E-02,+1.440000E-02
-3.198000E-02,+1.200000E-02,+1.520000E-02
-3.197000E-02,+1.200000E-02,+1.680000E-02
-3.196000E-02,+1.120000E-02,+1.520000E-02
-3.195000E-02,+1.120000E-02,+1.520000E-02
-3.194000E-02,+1.200000E-02,+1.520000E-02
-3.193000E-02,+1.200000E-02,+1.360000E-02
-3.192000E-02,+1.200000E-02,+1.360000E-02
-3.191000E-02,+1.200000E-02,+1.440000E-02
-3.190000E-02,+1.200000E-02,+1.520000E-02
-3.189000E-02,+1.200000E-02,+1.520000E-02
-3.188000E-02,+1.280000E-02,+1.600000E-02
-3.187000E-02,+1.120000E-02,+1.600000E-02
-3.186000E-02,+1.200000E-02,+1.440000E-02
-3.185000E-02,+1.120000E-02,+1.520000E-02
-3.184000E-02,+1.200000E-02,+1.520000E-02
-3.183000E-02,+1.120000E-02,+1.520000E-02
-3.182000E-02,+1.120000E-02,+1.520000E-02
-3.181000E-02,+1.120000E-02,+1.600000E-02
-3.180000E-02,+1.200000E-02,+1.520000E-02
-3.179000E-02,+1.200000E-02,+1.440000E-02
-3.178000E-02,+1.120000E-02,+1.600000E-02
-3.177000E-02,+1.200000E-02,+1.600000E-02
-3.176000E-02,+1.120000E-02,+1.600000E-02
-3.175000E-02,+1.120000E-02,+1.600000E-02
-3.174000E-02,+1.200000E-02,+1.520000E-02
-3.173000E-02,+1.040000E-02,+1.440000E-02
-3.172000E-02,+1.200000E-02,+1.520000E-02
-3.171000E-02,+1.200000E-02,+1.520000E-02
-3.170000E-02,+1.200000E-02,+1.520000E-02
-3.169000E-02,+1.200000E-02,+1.520000E-02
-3.168000E-02,+1.280000E-02,+1.520000E-02
-3.167000E-02,+1.120000E-02,+1.520000E-02
-3.166000E-02,+1.200000E-02,+1.520000E-02
-3.165000E-02,+1.120000E-02,+1.440000E-02
-3.164000E-02,+1.120000E-02,+1.600000E-02
-3.163000E-02,+1.200000E-02,+1.520000E-02
-3.162000E-02,+1.200000E-02,+1.520000E-02
-3.161000E-02,+1.200000E-02,+1.520000E-02
-3.160000E-02,+1.200000E-02,+1.440000E-02
-3.159000E-02,+1.200000E-02,+1.520000E-02
-3.158000E-02,+1.280000E-02,+1.440000E-02
-3.157000E-02,+1.200000E-02,+1.440000E-02
-3.156000E-02,+1.120000E-02,+1.600000E-02
-3.155000E-02,+1.200000E-02,+1.520000E-02
-3.154000E-02,+1.120000E-02,+1.520000E-02
-3.153000E-02,+1.120000E-02,+1.440000E-02
-3.152000E-02,+1.200000E-02,+1.440000E-02
-3.151000E-02,+1.280000E-02,+1.520000E-02
-3.150000E-02,+1.280000E-02,+1.520000E-02
-3.149000E-02,+1.120000E-02,+1.520000E-02
-3.148000E-02,+1.120000E-02,+1.600000E-02
-3.147000E-02,+1.120000E-02,+1.520000E-02
-3.146000E-02,+1.200000E-02,+1.600000E-02
-3.145000E-02,+1.120000E-02,+1.520000E-02
-3.144000E-02,+1.200000E-02,+1.520000E-02
-3.143000E-02,+1.200000E-02,+1.520000E-02
-3.142000E-02,+1.120000E-02,+1.680000E-02
-3.141000E-02,+1.120000E-02,+1.680000E-02
-3.140000E-02,+1.200000E-02,+1.520000E-02
-3.139000E-02,+1.200000E-02,+1.440000E-02
-3.138000E-02,+1.200000E-02,+1.600000E-02
-3.137000E-02,+1.120000E-02,+1.440000E-02
-3.136000E-02,+1.200000E-02,+1.520000E-02
-3.135000E-02,+1.120000E-02,+1.520000E-02
-3.134000E-02,+1.120000E-02,+1.520000E-02
-3.133000E-02,+1.120000E-02,+1.520000E-02
-3.132000E-02,+1.200000E-02,+1.520000E-02
-3.131000E-02,+1.120000E-02,+1.520000E-02
-3.130000E-02,+1.200000E-02,+1.600000E-02
-3.129000E-02,+1.280000E-02,+1.520000E-02
-3.128000E-02,+1.200000E-02,+1.520000E-02
-3.127000E-02,+1.200000E-02,+1.600000E-02
-3.126000E-02,+1.120000E-02,+1.520000E-02
-3.125000E-02,+1.200000E-02,+1.440000E-02
-3.124000E-02,+1.120000E-02,+1.520000E-02
-3.123000E-02,+1.120000E-02,+1.680000E-02
-3.122000E-02,+1.120000E-02,+1.520000E-02
-3.121000E-02,+1.200000E-02,+1.520000E-02
-3.120000E-02,+1.200000E-02,+1.520000E-02
-3.119000E-02,+1.120000E-02,+1.600000E-02
-3.118000E-02,+1.120000E-02,+1.440000E-02
-3.117000E-02,+1.120000E-02,+1.520000E-02
-3.116000E-02,+1.280000E-02,+1.520000E-02
-3.115000E-02,+1.120000E-02,+1.440000E-02
-3.114000E-02,+1.120000E-02,+1.600000E-02
-3.113000E-02,+1.120000E-02,+1.440000E-02
-3.112000E-02,+1.200000E-02,+1.520000E-02
-3.111000E-02,+1.120000E-02,+1.600000E-02
-3.110000E-02,+1.120000E-02,+1.520000E-02
-3.109000E-02,+1.120000E-02,+1.520000E-02
-3.108000E-02,+1.200000E-02,+1.600000E-02
-3.107000E-02,+1.120000E-02,+1.600000E-02
-3.106000E-02,+1.120000E-02,+1.520000E-02
-3.105000E-02,+1.120000E-02,+1.520000E-02
-3.104000E-02,+1.120000E-02,+1.520000E-02
-3.103000E-02,+1.200000E-02,+1.440000E-02
-3.102000E-02,+1.120000E-02,+1.520000E-02
-3.101000E-02,+1.120000E-02,+1.600000E-02
-3.100000E-02,+1.120000E-02,+1.440000E-02
-3.099000E-02,+1.200000E-02,+1.520000E-02
-3.098000E-02,+1.120000E-02,+1.440000E-02
-3.097000E-02,+1.120000E-02,+1.520000E-02
-3.096000E-02,+1.200000E-02,+1.520000E-02
-3.095000E-02,+1.200000E-02,+1.440000E-02
-3.094000E-02,+1.200000E-02,+1.520000E-02
-3.093000E-02,+1.120000E-02,+1.600000E-02
-3.092000E-02,+1.200000E-02,+1.520000E-02
-3.091000E-02,+1.120000E-02,+1.520000E-02
-3.090000E-02,+1.200000E-02,+1.520000E-02
-3.089000E-02,+1.120000E-02,+1.520000E-02
-3.088000E-02,+1.280000E-02,+1.520000E-02
-3.087000E-02,+1.200000E-02,+1.520000E-02
-3.086000E-02,+1.200000E-02,+1.520000E-02
-3.085000E-02,+1.120000E-02,+1.680000E-02
-3.084000E-02,+1.200000E-02,+1.520000E-02
-3.083000E-02,+1.120000E-02,+1.520000E-02
-3.082000E-02,+1.200000E-02,+1.520000E-02
-3.081000E-02,+1.120000E-02,+1.440000E-02
-3.080000E-02,+1.120000E-02,+1.440000E-02
-3.079000E-02,+1.120000E-02,+1.520000E-02
-3.078000E-02,+1.200000E-02,+1.520000E-02
-3.077000E-02,+1.040000E-02,+1.440000E-02
-3.076000E-02,+1.120000E-02,+1.520000E-02
-3.075000E-02,+1.200000E-02,+1.600000E-02
-3.074000E-02,+1.200000E-02,+1.520000E-02
-3.073000E-02,+1.200000E-02,+1.440000E-02
-3.072000E-02,+1.120000E-02,+1.520000E-02
-3.071000E-02,+1.120000E-02,+1.440000E-02
-3.070000E-02,+1.120000E-02,+1.520000E-02
-3.069000E-02,+1.120000E-02,+1.520000E-02
-3.068000E-02,+1.200000E-02,+1.520000E-02
-3.067000E-02,+1.200000E-02,+1.520000E-02
-3.066000E-02,+1.120000E-02,+1.520000E-02
-3.065000E-02,+1.200000E-02,+1.600000E-02
-3.064000E-02,+1.200000E-02,+1.440000E-02
-3.063000E-02,+1.200000E-02,+1.440000E-02
-3.062000E-02,+1.200000E-02,+1.520000E-02
-3.061000E-02,+1.200000E-02,+1.440000E-02
-3.060000E-02,+1.120000E-02,+1.520000E-02
-3.059000E-02,+1.200000E-02,+1.440000E-02
-3.058000E-02,+1.200000E-02,+1.520000E-02
-3.057000E-02,+1.120000E-02,+1.440000E-02
-3.056000E-02,+1.120000E-02,+1.600000E-02
-3.055000E-02,+1.280000E-02,+1.520000E-02
-3.054000E-02,+1.280000E-02,+1.600000E-02
-3.053000E-02,+1.120000E-02,+1.520000E-02
-3.052000E-02,+1.200000E-02,+1.520000E-02
-3.051000E-02,+1.120000E-02,+1.680000E-02
-3.050000E-02,+1.120000E-02,+1.520000E-02
-3.049000E-02,+1.200000E-02,+1.520000E-02
-3.048000E-02,+1.200000E-02,+1.440000E-02
-3.047000E-02,+1.280000E-02,+1.440000E-02
-3.046000E-02,+1.120000E-02,+1.520000E-02
-3.045000E-02,+1.120000E-02,+1.520000E-02
